民富楼   1室0厅   20平米   1500元/月
华商时代公寓   1室0厅   23平米   2300元/月
虹桥星座大厦   2室1厅   55平米   4000元/月
华商时代公寓   1室1厅   43平米   3300元/月
华商时代公寓   1室0厅   43平米   3200元/月
嘉宝田花园   2室1厅   66平米   5500元/月
嘉宝田花园   3室1厅   86平米   6800元/月
祥福雅居   1室1厅   38平米   3300元/月
嘉宝田花园   2室2厅   63平米   5000元/月
时尚新居   1室1厅   45平米   3300元/月
嘉宝田花园   4室2厅   93平米   8800元/月
春笋楼   1室0厅   39平米   1600元/月
嘉宝田花园   3室2厅   123平米   8000元/月
华商时代公寓   1室0厅   43平米   3000元/月
嘉宝田花园   3室2厅   123平米   8000元/月
嘉宝田花园   2室1厅   66平米   5300元/月
虹桥星座大厦   2室1厅   43平米   3500元/月
华商时代公寓   1室0厅   43平米   3000元/月
深城公寓   1室1厅   34平米   2500元/月
嘉宝田花园   2室2厅   63平米   5800元/月
嘉宝田花园   2室1厅   60平米   5500元/月
笋岗大厦   2室1厅   65平米   3800元/月
民富楼   1室1厅   35平米   2500元/月
华商时代公寓   3室1厅   43平米   3500元/月
嘉宝田花园   3室1厅   113平米   7800元/月
嘉宝田花园   3室2厅   112平米   7800元/月
嘉宝田花园   2室2厅   68平米   5500元/月
春笋楼   1室0厅   51平米   2800元/月
嘉宝田花园   2室2厅   66平米   5500元/月
嘉宝田花园   2室1厅   66平米   5200元/月
嘉宝田花园   2室1厅   66平米   6000元/月
华商时代公寓   1室0厅   43平米   3800元/月
华商时代公寓   1室1厅   62平米   4500元/月
祥福雅居   2室1厅   66平米   4600元/月
时尚新居   1室1厅   36平米   2400元/月
嘉宝田花园   4室1厅   7平米   2090元/月
嘉宝田花园   3室1厅   84平米   6800元/月
嘉宝田花园   2室1厅   60平米   5500元/月
华商时代公寓   1室0厅   43平米   3000元/月
新时速嘉园   3室1厅   84平米   5000元/月
嘉宝田花园   3室2厅   106平米   7800元/月
华商时代公寓   1室0厅   43平米   3500元/月
