雅颂居   5室3厅   235平米   50000元/月
天健世纪花园   3室2厅   128平米   16800元/月
星河国际花园   4室2厅   168平米   23500元/月
春晖苑   1室0厅   30平米   3500元/月
福莲花园   3室2厅   109平米   8500元/月
天健世纪花园   3室2厅   130平米   14000元/月
城中雅苑   2室2厅   87平米   12000元/月
中银花园   2室2厅   85平米   6500元/月
彩天名苑   1室0厅   41平米   3800元/月
彩虹新都   2室2厅   105平米   6000元/月
天元大厦   2室2厅   85平米   5000元/月
福岗园   2室1厅   55平米   5500元/月
福莲花园   4室2厅   99平米   7500元/月
国际商会大厦   3室1厅   185平米   42755元/月
彩天名苑   2室1厅   61平米   5500元/月
黄埔雅苑三区   3室2厅   134平米   20000元/月
中海华庭   2室2厅   85平米   11000元/月
福岗园   2室1厅   55平米   4800元/月
中银花园   3室2厅   165平米   10000元/月
彩天名苑   2室2厅   61平米   5500元/月
彩福大厦   1室0厅   49平米   3800元/月
深业花园   3室2厅   144平米   18000元/月
星河世纪   2室0厅   45平米   7600元/月
振业花园   2室1厅   78平米   6000元/月
星河世纪   1室1厅   42平米   4800元/月
彩虹新都   3室2厅   120平米   6500元/月
彩福大厦   2室1厅   49平米   5800元/月
星河世纪   1室1厅   48平米   6000元/月
港丽豪园   3室1厅   97平米   15000元/月
彩天名苑   1室0厅   33平米   3500元/月
星河世纪   1室0厅   38平米   4500元/月
彩虹新都   3室1厅   105平米   5800元/月
星河世纪   1室0厅   42平米   5200元/月
彩虹新都   3室2厅   120平米   7000元/月
天元大厦   3室2厅   108平米   6000元/月
彩天名苑   2室1厅   61平米   6200元/月
星河世纪   1室0厅   42平米   5200元/月
彩福大厦   1室1厅   49平米   4200元/月
城中雅苑   2室2厅   87平米   11000元/月
深业花园   3室2厅   117平米   15000元/月
彩福大厦   3室2厅   91平米   7500元/月
星河世纪   1室0厅   42平米   5300元/月
彩天名苑   1室0厅   33平米   3500元/月
彩虹新都   2室2厅   105平米   6200元/月
澳新亚大厦（首座）   1室1厅   46平米   5400元/月
彩福大厦   1室2厅   44平米   4000元/月
润恒大厦   1室1厅   39平米   4500元/月
彩福大厦   2室2厅   76平米   5500元/月
福源大厦   3室1厅   95平米   7500元/月
中海华庭   3室2厅   119平米   16000元/月
中银花园   2室2厅   85平米   7000元/月
联合广场福田   5室1厅   216平米   25000元/月
中海华庭   3室2厅   124平米   12000元/月
华景花园   2室1厅   77平米   5500元/月
星河世纪   1室0厅   44平米   5000元/月
星河世纪   1室0厅   45平米   6200元/月
星河世纪   1室1厅   44平米   6800元/月
彩虹新都   3室1厅   105平米   6800元/月
港丽豪园   4室2厅   134平米   17000元/月
星河世纪   1室0厅   44平米   5600元/月
润恒大厦   1室1厅   54平米   4300元/月
春晖苑   1室1厅   42平米   3800元/月
星河世纪   1室0厅   44平米   5000元/月
星河世纪   1室0厅   42平米   5500元/月
恒运豪庭   3室2厅   97平米   10000元/月
星河世纪   1室1厅   48平米   5500元/月
中海华庭   3室2厅   121平米   15000元/月
彩天名苑   1室0厅   36平米   4000元/月
联合广场福田   3室1厅   127平米   14600元/月
皇洲花园   3室2厅   85平米   6000元/月
皇洲花园   4室2厅   94平米   7000元/月
港丽豪园   3室2厅   100平米   12500元/月
海连大厦   3室2厅   99平米   7800元/月
城中雅苑   2室2厅   84平米   9000元/月
澳新亚大厦（首座）   1室1厅   45平米   5400元/月
天元大厦   4室2厅   127平米   7500元/月
中海华庭   3室2厅   139平米   16000元/月
港丽豪园   1室1厅   61平米   7500元/月
彩天名苑   1室0厅   41平米   4200元/月
星河世纪   1室1厅   44平米   5500元/月
星河世纪   2室1厅   65平米   8000元/月
福莲花园   3室2厅   70平米   5800元/月
彩虹新都   3室1厅   105平米   7000元/月
中银花园   2室2厅   84平米   7000元/月
彩福大厦   1室1厅   49平米   4300元/月
中海华庭   4室2厅   121平米   16000元/月
城中雅苑   3室2厅   125平米   14000元/月
中海华庭   3室2厅   119平米   18000元/月
嘉麟豪庭   4室1厅   135平米   13500元/月
黄埔雅苑一区   3室2厅   125平米   12000元/月
彩虹新都   3室1厅   120平米   7500元/月
福莲花园   4室2厅   105平米   7300元/月
高科利花园   2室1厅   76平米   5500元/月
深业花园   3室2厅   120平米   15000元/月
中银花园   2室2厅   85平米   7000元/月
彩虹新都   3室2厅   120平米   6800元/月
中银花园   2室2厅   85平米   6500元/月
天健世纪花园   3室2厅   130平米   13000元/月
彩虹新都   4室1厅   120平米   7500元/月
东华大厦   2室1厅   75平米   5500元/月
天元大厦   3室2厅   108平米   5500元/月
彩福大厦   1室1厅   51平米   4000元/月
国际村   3室2厅   86平米   6200元/月
润恒大厦   1室1厅   55平米   4900元/月
黄埔雅苑二区   2室2厅   78平米   9500元/月
皇洲花园   3室2厅   86平米   6100元/月
中银花园   2室2厅   85平米   6000元/月
黄埔雅苑一区   3室2厅   107平米   12500元/月
彩天名苑   2室2厅   78平米   6500元/月
彩福大厦   3室1厅   120平米   8800元/月
城中雅苑   2室2厅   84平米   9000元/月
彩虹新都   3室1厅   105平米   8500元/月
彩天名苑   2室1厅   61平米   5500元/月
彩虹新都   3室2厅   120平米   7000元/月
中银花园   2室2厅   85平米   6000元/月
雅颂居   4室2厅   183平米   35000元/月
天健世纪花园   4室2厅   147平米   17000元/月
黄埔雅苑二区   3室2厅   151平米   16000元/月
中银花园   3室2厅   99平米   9800元/月
润恒大厦   1室1厅   43平米   4500元/月
彩天名苑   2室1厅   61平米   5600元/月
彩福大厦   1室1厅   51平米   4400元/月
彩福大厦   2室2厅   78平米   6500元/月
恒运豪庭   3室2厅   94平米   9000元/月
港丽豪园   6室2厅   247平米   28000元/月
港丽豪园   3室2厅   97平米   12000元/月
现代苑   4室2厅   127平米   12000元/月
天健世纪花园   1室1厅   62平米   7500元/月
城中雅苑   3室2厅   124平米   13500元/月
彩天名苑   1室0厅   33平米   4000元/月
星河国际花园   4室2厅   156平米   23000元/月
星河国际花园   3室2厅   119平米   15500元/月
彩虹新都   2室2厅   105平米   7000元/月
深业花园   4室2厅   145平米   16000元/月
电子技术学校家属楼（深圳电子技术学校宿舍）   2室1厅   81平米   6000元/月
国际商会大厦   7室1厅   253平米   55880元/月
黄埔雅苑四区   3室2厅   110平米   13000元/月
港丽豪园   2室2厅   78平米   12000元/月
港丽豪园   4室2厅   133平米   17000元/月
中海华庭   2室2厅   83平米   12000元/月
中银花园   5室1厅   198平米   12500元/月
星河世纪   1室0厅   44平米   5500元/月
福景大厦   3室2厅   86平米   6500元/月
雅颂居   4室2厅   225平米   45000元/月
长福花园   4室1厅   110平米   7800元/月
皇家翠苑   6室4厅   304平米   35000元/月
中银花园   4室2厅   183平米   20000元/月
黄埔雅苑三区   4室2厅   221平米   35000元/月
中海华庭   3室2厅   121平米   17000元/月
中海华庭   3室2厅   119平米   16000元/月
雅颂居   4室2厅   225平米   45000元/月
长福花园   4室1厅   110平米   7800元/月
皇家翠苑   6室4厅   304平米   35000元/月
中银花园   4室2厅   183平米   20000元/月
黄埔雅苑三区   4室2厅   221平米   35000元/月
中海华庭   3室2厅   121平米   17000元/月
中海华庭   3室2厅   119平米   16000元/月
黄埔雅苑三区   3室2厅   135平米   23000元/月
彩虹新都   3室1厅   16平米   2360元/月
中银花园   3室1厅   17平米   2490元/月
中银花园   3室1厅   11平米   2530元/月
深业花园   2室2厅   115平米   14000元/月
城中雅苑   2室1厅   87平米   12000元/月
星河国际花园   3室2厅   143平米   18000元/月
城中雅苑   2室2厅   87平米   12000元/月
彩天名苑   1室0厅   36平米   4200元/月
福莲花园   3室2厅   95平米   7000元/月
福建大厦岗厦   2室1厅   105平米   8800元/月
橄榄鹏苑   1室0厅   33平米   3800元/月
恒运豪庭   2室1厅   76平米   8200元/月
中银花园   2室2厅   85平米   9000元/月
国际商会大厦   2室1厅   96平米   18915元/月
荣超国际商会中心   1室0厅   288平米   86400元/月
福源大厦   4室1厅   7平米   2160元/月
长福花园   3室1厅   6平米   2160元/月
润恒大厦   1室1厅   8平米   5630元/月
高科利花园   3室1厅   12平米   2490元/月
福源大厦   3室1厅   13平米   2530元/月
中银花园   3室1厅   11平米   2360元/月
彩福大厦   2室1厅   76平米   5800元/月
福莲花园   3室2厅   85平米   6000元/月
润恒大厦   1室1厅   39平米   4500元/月
发展兴苑   5室2厅   281平米   30000元/月
城中雅苑   2室1厅   87平米   12000元/月
港丽豪园   2室2厅   97平米   12000元/月
辛诚花园   3室2厅   118平米   10500元/月
黄埔雅苑四区   2室2厅   80平米   10000元/月
国际村   2室2厅   76平米   6000元/月
彩天名苑   1室0厅   33平米   4000元/月
福源大厦   4室2厅   101平米   1600元/月
黄埔雅苑四区   4室2厅   131平米   17000元/月
高科利花园   3室2厅   97平米   7500元/月
黄埔雅苑三区   2室2厅   82平米   11000元/月
城中雅苑   2室1厅   80平米   12000元/月
润恒大厦   1室1厅   43平米   4300元/月
星河世纪   1室1厅   44平米   5500元/月
春晖苑   1室1厅   47平米   4000元/月
福莲花园   3室2厅   109平米   10000元/月
海连大厦   3室2厅   100平米   7000元/月
大中华国际金融中心   3室1厅   130平米   16000元/月
福莲花园   5室0厅   160平米   58000元/月
长福花园   3室2厅   94平米   8000元/月
城中雅苑   2室2厅   87平米   12000元/月
星河世纪   1室0厅   44平米   6000元/月
天健世纪花园   4室2厅   258平米   45000元/月
嘉麟豪庭   3室2厅   123平米   12600元/月
星河世纪   3室2厅   110平米   13000元/月
星河世纪   2室2厅   64平米   7500元/月
星河世纪   1室0厅   44平米   5000元/月
皇洲花园   2室2厅   80平米   5700元/月
星河世纪   1室0厅   44平米   5000元/月
彩福大厦   1室1厅   44平米   5300元/月
彩福大厦   2室2厅   76平米   5500元/月
岗厦变电综合楼   2室2厅   86平米   5000元/月
万景花园   3室2厅   25平米   1800元/月
中银花园   2室1厅   85平米   6300元/月
深南大道1012号   2室1厅   70平米   4600元/月
国际商会大厦   1室1厅   184平米   36800元/月
黄埔雅苑三区   4室2厅   143平米   18600元/月
东怡大厦   1室0厅   12平米   2200元/月
彩虹新都   2室1厅   122平米   9500元/月
福岗园   2室1厅   58平米   4800元/月
星河世纪   1室1厅   44平米   5500元/月
彩福大厦   1室1厅   51平米   4200元/月
彩福大厦   2室2厅   78平米   6000元/月
福岗园   2室2厅   58平米   5000元/月
星河世纪   1室1厅   41平米   4800元/月
星河世纪   1室0厅   30平米   4600元/月
中海华庭   2室2厅   85平米   12000元/月
星河世纪   2室1厅   44平米   7500元/月
福华新村   2室1厅   70平米   5500元/月
大中华国际金融中心   3室2厅   130平米   15000元/月
恒运豪庭   2室1厅   76平米   8000元/月
彩福大厦   3室2厅   120平米   9500元/月
橄榄鹏苑   1室1厅   33平米   4000元/月
彩福大厦   3室1厅   114平米   8500元/月
大中华国际金融中心   3室1厅   130平米   15000元/月
星河世纪   1室1厅   45平米   5000元/月
橄榄鹏苑   5室3厅   170平米   15000元/月
彩天名苑   1室1厅   41平米   3800元/月
