锦绣东方   6室4厅   120平米   3000元/月
紫薇花园   3室2厅   113平米   3000元/月
天健现代城   4室2厅   128平米   4600元/月
万科天誉   3室2厅   89平米   4500元/月
爱地花园二期   4室2厅   131平米   4300元/月
中海康城国际   5室2厅   264平米   5000元/月
碧湖玫瑰园   5室3厅   230平米   4200元/月
公园大地   4室2厅   170平米   5000元/月
愉园新苑   3室2厅   105平米   4000元/月
东都花园一期   4室2厅   135平米   3500元/月
东方沁园   5室2厅   200平米   6500元/月
绿景大公馆   4室2厅   132平米   3000元/月
中海康城国际   2室1厅   74平米   3200元/月
保利上城   3室2厅   85平米   3500元/月
保利上城   0室0厅   53平米   2400元/月
欧景花园一期   3室1厅   89平米   3500元/月
中森双子座公馆   2室1厅   55平米   3200元/月
龙城华府   3室2厅   63平米   3300元/月
保利上城   1室1厅   53平米   2800元/月
缤纷世纪   2室1厅   53平米   2800元/月
保利上城   1室1厅   53平米   2700元/月
中海康城国际   3室1厅   88平米   3500元/月
天昊华庭   1室0厅   36平米   1200元/月
龙福一村   1室0厅   75平米   6000元/月
缤纷世纪   2室1厅   57平米   2800元/月
欧景城花园   2室2厅   86平米   3000元/月
东方沁园   4室2厅   151平米   4500元/月
振业峦山谷   3室2厅   89平米   3300元/月
中海康城国际   1室1厅   40平米   2200元/月
缤纷世纪   2室1厅   53平米   3200元/月
绿景大公馆   2室2厅   58平米   3800元/月
中海塞纳时光   3室1厅   88平米   3100元/月
保利上城   1室1厅   53平米   2500元/月
缤纷世纪   1室0厅   33平米   1800元/月
振业峦山谷   3室1厅   89平米   3200元/月
缤纷世纪   2室1厅   57平米   2800元/月
缤纷世纪   3室1厅   56平米   5000元/月
万科清林径   1室1厅   64平米   2200元/月
水蓝湾   3室2厅   88平米   4200元/月
鸿基花园(龙岗区)   2室2厅   78平米   3000元/月
天誉国际公馆   3室2厅   127平米   5000元/月
振业天峦   2室2厅   89平米   2800元/月
中海康城国际   3室1厅   87平米   3000元/月
保利上城   1室1厅   53平米   2300元/月
振业峦山谷   2室2厅   89平米   2000元/月
金地名峰   4室2厅   89平米   3500元/月
紫薇花园   3室2厅   100平米   3000元/月
中海塞纳时光   2室2厅   76平米   2800元/月
龙岗天健花园   3室2厅   105平米   3200元/月
东都花园一期   3室2厅   98平米   3500元/月
中海康城国际   1室1厅   48平米   2300元/月
华业玫瑰郡   1室1厅   41平米   2500元/月
