中洲控股金融中心   1室0厅   300平米   68400元/月
南油B区   1室1厅   30平米   2400元/月
金海岸大厦   1室1厅   36平米   3500元/月
深蓝季节   1室1厅   36平米   4500元/月
金海岸大厦   1室0厅   22平米   3000元/月
福园单身公寓   1室0厅   35平米   2400元/月
金海岸大厦   1室1厅   38平米   3500元/月
深蓝季节   1室0厅   26平米   3200元/月
深蓝季节   1室1厅   37平米   4500元/月
新一代国际公寓   1室1厅   38平米   4300元/月
南油B区   1室0厅   35平米   3500元/月
南油B区   1室0厅   38平米   2900元/月
深蓝季节   1室1厅   38平米   4600元/月
金海岸大厦   1室1厅   38平米   4300元/月
信和自由广场   1室1厅   52平米   4600元/月
金海岸大厦   1室1厅   40平米   4300元/月
深蓝季节   2室1厅   61平米   6000元/月
深蓝季节   2室1厅   61平米   6300元/月
雅仕荔景苑   3室1厅   85平米   7800元/月
金海岸大厦   1室1厅   43平米   4100元/月
新一代国际公寓   1室1厅   42平米   4500元/月
金海岸大厦   1室0厅   22平米   3000元/月
南油B区   1室0厅   38平米   2000元/月
深蓝季节   1室1厅   43平米   4400元/月
深蓝季节   1室1厅   37平米   4500元/月
金海岸大厦   1室1厅   37平米   4000元/月
钜建大厦   2室1厅   73平米   4700元/月
浪琴屿花园   3室2厅   137平米   12000元/月
深蓝季节   2室1厅   60平米   6000元/月
深蓝季节   1室1厅   35平米   4300元/月
南油B区   1室1厅   30平米   2700元/月
深蓝季节   1室0厅   22平米   3200元/月
金海岸大厦   1室1厅   40平米   4200元/月
深蓝季节   2室2厅   62平米   6000元/月
西海湾花园   2室2厅   68平米   6800元/月
深蓝季节   2室1厅   61平米   6300元/月
新一代国际公寓   1室1厅   45平米   4600元/月
漾日湾畔   2室2厅   78平米   9000元/月
深蓝季节   1室1厅   36平米   4500元/月
南油B区   1室0厅   36平米   2700元/月
南油B区   1室1厅   35平米   3500元/月
南油B区   1室1厅   30平米   3000元/月
蔚蓝海岸1期   2室2厅   70平米   8000元/月
南油B区   1室1厅   39平米   3500元/月
新一代国际公寓   1室0厅   38平米   4000元/月
钜建大厦   2室1厅   88平米   5300元/月
招商名仕花园   3室2厅   110平米   7500元/月
新一代国际公寓   1室1厅   38平米   4300元/月
新一代国际公寓   1室1厅   38平米   4500元/月
碧海天家园   3室1厅   106平米   7800元/月
南油B区   1室0厅   36平米   3300元/月
雅仕荔景苑   1室1厅   44平米   4000元/月
雅仕荔景苑   2室1厅   57平米   4800元/月
金海岸大厦   2室1厅   48平米   4500元/月
雅仕荔景苑   2室1厅   65平米   5500元/月
深蓝季节   1室0厅   22平米   3000元/月
云海天城   3室1厅   78平米   6300元/月
龙城花园   4室2厅   111平米   6800元/月
滨海之窗   3室2厅   105平米   12000元/月
碧海天家园   3室2厅   97平米   8500元/月
蔚蓝海岸2期   3室2厅   110平米   13000元/月
新一代国际公寓   1室1厅   38平米   4100元/月
金海岸大厦   1室1厅   38平米   4000元/月
信和自由广场   2室2厅   72平米   5800元/月
南油生活B区   1室1厅   29平米   3200元/月
云海天城   2室1厅   76平米   6400元/月
新一代国际公寓   1室1厅   38平米   4000元/月
海晖大厦   2室1厅   75平米   5000元/月
蔚蓝海岸3期   3室2厅   117平米   11500元/月
南油B区   1室0厅   32平米   3300元/月
育德佳园   2室2厅   75平米   6300元/月
新一代国际公寓   1室0厅   38平米   4200元/月
观海台   3室2厅   98平米   9500元/月
金海岸大厦   1室1厅   43平米   4500元/月
新一代国际公寓   2室1厅   45平米   5300元/月
新一代国际公寓   1室1厅   45平米   4500元/月
南油生活A区   3室3厅   135平米   13500元/月
深蓝季节   1室1厅   37平米   4500元/月
金海岸大厦   1室1厅   39平米   4500元/月
蔚蓝海岸2期   3室2厅   127平米   11500元/月
