地区,区域,小区,室,厅,面积,价格,每室价格,每平米价格,中民距离,中民时间,中信距离,中信时间,,
罗湖,布心,今日家园,4,2,120,5800,1450,48,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,2,1,66,4200,2100,63,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,62,4600,2300,74,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,山湖居,3,1,80,5800,1933,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,52,4500,2250,86,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,2,99,4800,1600,48,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,旭飞华天苑,1,1,27,2100,2100,77,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,1,1,33,2400,2400,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,1,1,53,3500,3500,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,3,1,92,5000,1666,54,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,44,4500,2250,102,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,2,110,4500,1500,40,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,长富花园,2,1,53,3500,1750,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,1,1,34,1800,1800,52,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,62,4500,2250,72,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,2,1,50,3000,1500,60,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,大地花园,2,1,50,3000,1500,60,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金迪名苑,1,0,26,2500,2500,96,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,松泉公寓,2,1,74,3500,1750,47,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,泰和花园,3,1,90,4800,1600,53,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,旭飞华天苑,1,0,18,1500,1500,83,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,雍翠华府,2,1,44,4100,2050,93,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,丰湖花园,2,1,62,4200,2100,67,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,龙园山庄,3,2,80,4200,1400,52,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,今日家园,3,1,101,5500,1833,54,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,颖隆大厦,2,1,52,3300,1650,63,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,彩世界家园,2,1,68,4500,2250,66,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,君逸华府,3,2,98,7500,2500,76,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,金迪名苑,1,0,26,2500,2500,96,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,碧岭华庭,2,2,74,5800,2900,78,7444,2604,19378,6149,43.4,102.4833333
罗湖,布心,博隆大厦,1,1,70,6000,6000,85,7444,2604,19378,6149,43.4,102.4833333
